100;0
200;0
300;0
400;0
500;0
600;0
700;0
800;0.01
900;0
1000;0.01
1100;0.01
1200;0.01
1300;0.01
1400;0.01
1500;0.01
1600;0.02
1700;0.02
1800;0.02
1900;0.02
2000;0.03
2100;0.03
2200;0.03
2300;0.03
2400;0.03
2500;0.04
2600;0.05
2700;0.05
2800;0.04
2900;0.06
3000;0.05
3100;0.05
3200;0.06
3300;0.07
3400;0.07
3500;0.08
3600;0.08
3700;0.09
3800;0.09
3900;0.09
4000;0.11
4100;0.1
4200;0.11
4300;0.12
4400;0.12
4500;0.13
4600;0.14
4700;0.14
4800;0.14
4900;0.16
5000;0.16
5100;0.16
5200;0.17
5300;0.18
5400;0.19
5500;0.19
5600;0.19
5700;0.2
5800;0.21
5900;0.22
6000;0.23
6100;0.23
6200;0.24
6300;0.25
6400;0.26
6500;0.26
6600;0.28
6700;0.28
6800;0.3
6900;0.3
7000;0.31
7100;0.33
7200;0.33
7300;0.34
7400;0.34
7500;0.36
7600;0.37
7700;0.38
7800;0.38
7900;0.39
8000;0.41
8100;0.41
8200;0.42
8300;0.44
8400;0.45
8500;0.45
8600;0.48
8700;0.48
8800;0.48
8900;0.5
9000;0.51
9100;0.53
9200;0.53
9300;0.55
9400;0.56
9500;0.58
9600;0.6
9700;0.6
9800;0.62
9900;0.64

